time,divergence_dt,divergence_dt_half,divergence_dt_quarter
0.2650,1.08362141e-06,1.01941448e-06,1.01941450e-06
0.2660,1.08429789e-06,1.01956692e-06,1.01956693e-06
0.2670,1.08497739e-06,1.01971999e-06,1.01972001e-06
0.2680,1.08565989e-06,1.01987371e-06,1.01987372e-06
0.2690,1.08634539e-06,1.02002806e-06,1.02002808e-06
0.2700,1.08703391e-06,1.02018306e-06,1.02018307e-06
0.2710,1.08772543e-06,1.02033869e-06,1.02033871e-06
0.2720,1.08841997e-06,1.02049497e-06,1.02049499e-06
0.2730,1.08911753e-06,1.02065189e-06,1.02065191e-06
0.2740,1.08981810e-06,1.02080945e-06,1.02080947e-06
0.2750,1.09052170e-06,1.02096766e-06,1.02096767e-06
0.2760,1.09122831e-06,1.02112651e-06,1.02112652e-06
0.2770,1.09193795e-06,1.02128600e-06,1.02128602e-06
0.2780,1.09265061e-06,1.02144614e-06,1.02144616e-06
0.2790,1.09336629e-06,1.02160692e-06,1.02160694e-06
0.2800,1.09408501e-06,1.02176835e-06,1.02176837e-06
0.2810,1.09480675e-06,1.02193043e-06,1.02193044e-06
0.2820,1.09553153e-06,1.02209315e-06,1.02209316e-06
0.2830,1.09625934e-06,1.02225652e-06,1.02225653e-06
0.2840,1.09699018e-06,1.02242053e-06,1.02242055e-06
0.2850,1.09772406e-06,1.02258520e-06,1.02258521e-06
0.2860,1.09846097e-06,1.02275051e-06,1.02275053e-06
0.2870,1.09920093e-06,1.02291647e-06,1.02291649e-06
0.2880,1.09994392e-06,1.02308309e-06,1.02308310e-06
0.2890,1.10068995e-06,1.02325035e-06,1.02325036e-06
0.2900,1.10143903e-06,1.02341826e-06,1.02341827e-06
0.2910,1.10219115e-06,1.02358682e-06,1.02358684e-06
0.2920,1.10294632e-06,1.02375604e-06,1.02375605e-06
0.2930,1.10370453e-06,1.02392590e-06,1.02392592e-06
0.2940,1.10446579e-06,1.02409642e-06,1.02409644e-06
0.2950,1.10523010e-06,1.02426760e-06,1.02426761e-06
